Customer_ID,Annual_Income,Debt_to_Income_Ratio,Employment_Length_Years,Credit_Lines_Outstanding,Loan_Amount,FICO_Score,Previous_Delinquencies,Loan_Term_Months,Interest_Rate_%,Defaulted
CUST00001,51271,0.25,27,1,1000000,527,2,36,13.45,0
CUST00002,196694,0.29,38,7,2E+13,341,2,36,17.83,0
CUST00003,126603,0.3,26,8,200000000,326,2,36,18.23,1
CUST00004,115464,0.32,10,6,5.55556E+16,545,7,48,17.11,0
CUST00005,181658,0.37,25,9,99587,425,7,36,20.13,1
CUST00006,89046,0.06,13,15,80762,427,2,48,14.11,1
CUST00007,199943,0.19,39,15,47694,515,1,48,12.53,0
CUST00008,186757,0.09,22,13,85440,785,4,60,8.44,0
CUST00009,48612,0.4,18,3,93565,399,2,60,17.94,1
CUST00010,44725,0.2,21,13,77058,643,0,48,9.12,1
CUST00011,123427,0.2,38,14,52865,795,3,36,7.9,0
CUST00012,164032,0.28,35,2,36578,730,5,36,11.36,1
CUST00013,132313,0.42,40,10,92516,801,888,60,9.33,0
CUST00014,191340,0.07,20,5,24017,638,0,48,8.19,0
CUST00015,142578,0.35,35,4,44012,613,6,36,15.17,1
CUST00016,71271,0.6,23,6,93705,502,0,48,15.39,1
CUST00017,197785,0.36,35,10,28014,399,6,36,19.92,0
CUST00018,41547,0.55,7,8,74029,834,3,60,10.35,0
CUST00019,198308,0.49,16,10,25045,530,1,36,14.6,0
CUST00020,123659,0.06,40,10,10281,587,1,48,9.92,0
CUST00021,65515,0.5,5,1,16409,401,0,48,16.8,0
CUST00022,94524,0.58,37,13,98882,542,8,48,19.96,1
CUST00023,196266,0.53,18,6,91963,801,7,36,13.21,1
CUST00024,26364,0.59,17,1,31397,520,8,60,21.02,0
CUST00025,129954,0.27,15,15,11099,475,7,48,18.24,1
CUST00026,45184,0.46,12,10,42438,827,4,60,10.48,0
CUST00027,115649,0.3,30,3,75147,501,0,36,13.01,0
CUST00028,48206,0.26,13,8,25906,420,0,60,14.96,0
CUST00029,131446,0.22,18,10,87335,829,1,60,6.42,0
CUST00030,78598,0.32,22,9,41576,779,4,48,9.91,0
CUST00031,186761,0.29,10,5,69506,314,0,36,17.01,0
CUST00032,48677,0.48,17,13,40865,387,3,36,19.04,1
CUST00033,110860,0.17,21,12,80533,644,6,60,13.55,0
CUST00034,89837,0.51,10,13,87719,430,3,48,18.34,0
CUST00035,180324,0.31,17,11,81458,718,8,36,13.96,1
CUST00036,174165,0.2,21,15,6039,371,2,60,16.95,1
CUST00037,65978,0.56,4,12,11074,463,7,36,20.82,1
CUST00038,188158,0.59,14,4,30542,370,7,60,23.59,0
CUST00039,92012,0.57,20,10,47777,377,1,60,19.08,1
CUST00040,85652,0.58,19,11,13015,687,0,48,11.2,0
CUST00041,196906,0.46,27,11,14254,521,3,48,15.96,0
CUST00042,54867,0.21,21,15,25927,601,6,48,14.31,0
CUST00043,163633,0.23,0,8,77032,493,2,60,14.53,0
CUST00044,166827,0.34,6,2,90448,455,5,36,17.84,1
CUST00045,118482,0.15,20,14,53162,338,5,60,19.37,0
CUST00046,156128,0.48,6,9,39341,338,8,48,23.61,1
CUST00047,159058,0.47,32,1,76850,311,5,48,22.02,1
CUST00048,74595,0.35,9,5,81471,763,3,60,10.3,0
CUST00049,131455,0.24,8,11,59486,776,8,36,12.13,0
